x,y,z,yaw,velocity,change_flag
0.0934,-0.3393,-0.2791,0.0137,0,0
1.2701,-0.3564,-0.2436,-0.0155,7.8854,0
2.3140,-0.3229,-0.2705,-0.0101,2.0112,0
3.3194,-0.2934,-0.2837,-0.0022,1.6445,0
4.3788,-0.3246,-0.2801,-0.0023,5.2377,0
5.3830,-0.3142,-0.2626,0.0051,3.1451,0
6.3997,-0.1393,-0.1576,-0.0329,3.6797,0
7.4187,-0.1643,-0.2088,-0.0405,2.9840,0
8.4698,-0.0963,-0.1748,-0.0419,2.1268,0
9.4923,-0.1862,-0.1941,-0.0261,2.4760,0
10.5197,-0.2616,-0.1634,-0.0817,2.7688,0
11.5310,-0.3126,-0.1684,-0.0697,2.6187,0
12.5424,-0.3718,-0.1773,-0.0455,2.9244,0
13.5803,-0.3976,-0.1607,0.0355,2.0095,0
14.5791,-0.3251,-0.1311,-0.0221,0.8203,0
15.6283,-0.2809,-0.1044,-0.0178,2.1082,0
16.6334,-0.2652,-0.0934,-0.0146,0.8804,0
17.6512,-0.3595,-0.2499,-0.0127,6.6287,0
18.7111,-0.3626,-0.2683,-0.0091,8.1001,0
19.7182,-0.3707,-0.0245,-0.0256,2.1011,0
20.7225,-0.3572,0.0024,-0.1072,1.7530,0
21.7601,-0.4641,-0.0003,-0.0196,2.7531,0
22.8272,-0.4234,0.0384,-0.0614,3.5064,0
23.8368,-0.5540,0.0648,0.0571,2.9391,0
24.8904,-0.4283,0.0890,0.0737,2.4865,0
25.9283,-0.4538,0.2161,0.0487,3.4766,0
26.9310,-0.3839,0.0892,-0.0233,3.2424,0
27.9101,-0.5926,0.1103,-0.3376,2.7316,0
28.9333,-0.8496,0.1801,-0.1504,2.6405,0
29.9769,-0.8512,0.2463,-0.0306,1.7265,0
30.9920,-0.9812,0.1838,-0.0956,2.0418,0
32.0042,-0.9665,0.1552,-0.0640,2.5895,0
33.0031,-1.0209,0.2993,-0.0388,3.7641,0
34.0095,-1.0017,0.3061,-0.0355,1.3431,0
35.0269,-1.0741,0.4717,-0.0497,4.1986,0
36.0380,-1.1431,0.3644,-0.0314,2.2067,0
37.1806,-1.1147,0.2021,-0.0206,11.1071,0
38.1867,-1.1003,0.4617,-0.0101,5.3589,0
39.1903,-0.9553,0.4381,-0.0009,2.6849,0
40.2075,-1.0553,0.4418,-0.0128,2.4867,0
41.2384,-1.1301,0.5883,-0.0980,1.9964,0
42.2655,-1.1262,0.6757,0.0343,2.2399,0
43.3375,-1.1161,0.5713,0.0362,4.1854,0
44.3676,-1.0953,0.4660,0.0197,2.1837,0
45.3787,-1.1039,0.4850,-0.0490,1.1482,0
46.3983,-1.1563,0.5231,-0.0572,1.4827,0
47.4671,-1.1135,0.5238,0.0014,3.0688,0
48.4790,-1.0748,0.5288,0.0054,1.4705,0
49.4915,-0.9654,0.5217,-0.0081,2.5389,0
50.5209,-1.0315,0.5618,-0.0709,1.8606,0
51.5442,-1.1298,0.5602,-0.0520,1.4550,0
52.5567,-1.1389,0.6031,-0.0022,1.7704,0
53.5723,-1.1391,0.5869,0.0009,1.4618,0
54.5966,-1.1890,0.6990,0.0072,2.2210,0
55.6312,-1.1267,0.6719,0.0176,2.1762,0
56.6371,-1.1380,0.6385,-0.0365,1.6879,0
57.6606,-1.0771,0.6849,0.0675,1.9243,0
58.7002,-0.9664,0.7099,0.0709,1.6770,0
59.6998,-0.8385,0.6678,0.0639,2.7307,0
60.7000,-0.9335,0.6168,-0.2608,4.3566,0
61.5774,-1.4286,0.7314,-0.9751,1.1431,0
61.8707,-2.4011,0.6703,-1.4450,2.3535,0
61.8851,-3.4620,0.5850,-1.5196,3.3305,0
61.7886,-4.5142,0.6085,-1.5867,2.6906,0
61.7608,-5.5334,0.5964,-1.6332,2.7680,0
61.6546,-6.5898,-0.1224,-1.5433,3.5756,0
61.8258,-7.6377,0.5232,-1.5504,5.0065,0
61.7636,-8.6900,0.6037,-1.6202,11.6859,0
61.8591,-9.7090,0.4001,-1.5988,3.0495,0
61.7596,-10.7318,0.6732,-1.5382,5.8685,0
61.7278,-11.7716,0.5777,-1.5162,1.9309,0
61.8140,-12.8152,0.6051,-1.6188,9.4577,0
61.8731,-13.8610,0.6167,-1.5263,2.1122,0
61.9229,-14.8988,0.4650,-1.6244,3.7501,0
